"","CODE","GVC_Ui","YEAR","BEA_CLASS"
"514","324110",2.17449133156697,"2007","BEA2007"
"515","324121",2.33023686702381,"2007","BEA2007"
"516","324122",2.52763428432536,"2007","BEA2007"
"517","324190",2.68770252664763,"2007","BEA2007"
"518","325110",4.94269809711841,"2007","BEA2007"
"519","325120",3.32991855076762,"2007","BEA2007"
"520","325130",3.55720229419603,"2007","BEA2007"
"521","325180",3.33996535581537,"2007","BEA2007"
"522","325190",3.86877139443459,"2007","BEA2007"
"523","325211",3.62902127412235,"2007","BEA2007"
"524","3252A0",2.96229169119215,"2007","BEA2007"
"525","325310",3.81752554213017,"2007","BEA2007"
"526","325320",3.15177495315129,"2007","BEA2007"
"527","325411",2.49127069522973,"2007","BEA2007"
"528","325412",1.2671390199257,"2007","BEA2007"
"529","325413",2.02225712679842,"2007","BEA2007"
"530","325414",2.42537880462851,"2007","BEA2007"
"531","325510",2.89294130568123,"2007","BEA2007"
"532","325520",2.95325443041293,"2007","BEA2007"
"533","325610",1.99659699762924,"2007","BEA2007"
"534","325620",1.23893542552236,"2007","BEA2007"
"535","325910",3.54563658907864,"2007","BEA2007"
"536","3259A0",3.07780541277316,"2007","BEA2007"
"537","326110",2.9022831649163,"2007","BEA2007"
"538","326120",3.00957007842953,"2007","BEA2007"
"539","326130",3.03303091633825,"2007","BEA2007"
"540","326140",2.3390136348753,"2007","BEA2007"
"541","326150",2.27317009065791,"2007","BEA2007"
"542","326160",2.39765152838299,"2007","BEA2007"
"543","326190",2.40372190637208,"2007","BEA2007"
"544","326210",1.87461230826193,"2007","BEA2007"
"545","326220",2.66219108679434,"2007","BEA2007"
"546","326290",2.50874012954046,"2007","BEA2007"
"547","327100",2.23789865132403,"2007","BEA2007"
"548","327200",2.3603256922961,"2007","BEA2007"
"549","327310",3.23333587646357,"2007","BEA2007"
"550","327320",2.29798298867763,"2007","BEA2007"
"551","327330",2.3858793346335,"2007","BEA2007"
"552","327390",2.28970882836893,"2007","BEA2007"
"553","327400",2.98296706218389,"2007","BEA2007"
